date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.4,333137.2,166.5686,666696.2313999999
2018-01-01,BUY,INFRABEES.NS,896,371.7,333043.2,166.5216,333486.50979999994
2018-01-01,BUY,MOM100.NS,15282,21.8,333147.60000000003,166.57380000000003,172.33599999989383
2018-01-15,SELL,INFRABEES.NS,896,372.42,333688.32,166.84416000000002,333693.8118399999
2018-01-15,SELL,MON100.NS,6883,48.09,331003.47000000003,165.50173500000002,664531.7801049999
2018-01-15,BUY,HNGSNGBEES.NS,1101,301.5,331951.5,165.97575,332414.3043549999
2018-01-15,BUY,CPSEETF.NS,10712,31.0,332072.0,166.036,176.26835499989102
2018-01-22,SELL,CPSEETF.NS,10712,30.31,324680.72,162.34035999999998,324694.6479949999
2018-01-22,SELL,HNGSNGBEES.NS,1101,304.0,334704.0,167.352,659231.2959949998
2018-01-22,SELL,MOM100.NS,15282,23.09,352861.38,176.43069,1011916.2453049999
2018-01-22,BUY,BANKBEES.NS,1229,274.16,336942.64,168.47132000000002,674805.1339849998
2018-01-22,BUY,MON100.NS,6798,49.59,337112.82,168.55641,337523.7575749998
2018-01-22,BUY,NIFTYBEES.NS,2986,112.88,337059.68,168.52984,295.5477349998546
2018-01-29,SELL,NIFTYBEES.NS,2986,114.63,342285.18,171.14259,342409.58514499984
2018-01-29,BUY,MOM100.NS,14464,23.66,342218.24,171.10912,20.236024999874644
2018-02-05,SELL,BANKBEES.NS,1229,265.34,326102.86,163.05143,325960.04459499987
2018-02-05,SELL,MOM100.NS,14464,22.11,319799.04,159.89952,645599.1850749999
2018-02-05,BUY,GOLDBEES.NS,11870,27.18,322626.6,161.3133,322811.271775
2018-02-05,BUY,LIQUIDBEES.NS,322,1000.0,322000.0,161.0,650.271774999972
2018-02-19,SELL,MON100.NS,6798,50.4,342619.2,171.30960000000002,343098.162175
2018-02-19,BUY,HNGSNGBEES.NS,1106,310.0,342860.0,171.43,66.73217500001192
2018-02-26,SELL,HNGSNGBEES.NS,1106,306.3,338767.8,169.3839,338665.148275
2018-02-26,BUY,MON100.NS,6576,51.47,338466.72,169.23335999999998,29.194915000000037
2018-03-05,SELL,GOLDBEES.NS,11870,27.4,325238.0,162.619,325104.575915
2018-03-05,SELL,LIQUIDBEES.NS,322,1000.0,322000.0,161.0,646943.5759149999
2018-03-05,BUY,DIVOPPBEES.NS,11284,28.65,323286.6,161.64329999999998,323495.33261499996
2018-03-05,BUY,CPSEETF.NS,10963,29.49,323298.87,161.649435,34.813179999939166
2018-03-12,SELL,CPSEETF.NS,10963,28.98,317707.74,158.85387,317583.69930999994
2018-03-12,SELL,DIVOPPBEES.NS,11284,28.75,324415.0,162.2075,641836.4918099999
2018-03-12,BUY,LIQUIDBEES.NS,320,999.99,319996.8,159.9984,321679.69340999995
2018-03-12,BUY,GOLDBEES.NS,11792,27.2,320742.39999999997,160.3712,776.9222099999897
2018-04-02,SELL,MON100.NS,6576,51.55,338992.8,169.4964,339600.22581
2018-04-02,BUY,JUNIORBEES.NS,1137,298.29,339155.73000000004,169.57786500000003,274.91794499993557
2018-04-09,SELL,GOLDBEES.NS,11792,27.38,322864.95999999996,161.43248,322978.4454649999
2018-04-09,SELL,LIQUIDBEES.NS,320,1000.0,320000.0,160.0,642818.4454649999
2018-04-09,BUY,PSUBNKBEES.NS,9479,33.89,321243.31,160.621655,321414.51380999986
2018-04-09,BUY,HNGSNGBEES.NS,909,353.3,321149.7,160.57485,104.23895999987144
2018-04-16,SELL,PSUBNKBEES.NS,9479,32.52,308257.08,154.12854000000002,308207.1904199999
2018-04-16,SELL,HNGSNGBEES.NS,909,345.6,314150.4,157.07520000000002,622200.51522
2018-04-16,BUY,BANKBEES.NS,1211,256.75,310924.25,155.46212500000001,311120.8030949999
2018-04-16,BUY,NIF100BEES.NS,2790,111.44,310917.6,155.4588,47.74429499992402
2018-04-23,SELL,BANKBEES.NS,1211,252.85,306201.35,153.100675,306095.9936199999
2018-04-23,SELL,NIF100BEES.NS,2790,112.99,315242.1,157.62105,621180.4725699999
2018-04-23,SELL,JUNIORBEES.NS,1137,309.07,351412.58999999997,175.70629499999998,972417.3562749999
2018-04-23,BUY,MON100.NS,6159,52.6,323963.4,161.98170000000002,648291.9745749999
2018-04-23,BUY,INFRABEES.NS,917,352.95,323655.14999999997,161.827575,324474.9969999999
2018-04-23,BUY,NIFTYBEES.NS,2959,109.47,323921.73,161.96086499999998,391.3061349999625
2018-04-30,SELL,INFRABEES.NS,917,357.49,327818.33,163.909165,328045.72696999996
2018-04-30,SELL,MON100.NS,6159,50.11,308627.49,154.313745,636518.903225
2018-04-30,BUY,BANKBEES.NS,1224,259.83,318031.92,159.01596,318327.96726500004
2018-04-30,BUY,JUNIORBEES.NS,1013,313.8,317879.4,158.93970000000002,289.6275650000316
2018-05-07,SELL,JUNIORBEES.NS,1013,305.34,309309.42,154.65471,309444.39285500004
2018-05-07,BUY,MOM100.NS,14791,20.91,309279.81,154.639905,9.942950000055134
2018-05-21,SELL,NIFTYBEES.NS,2959,109.05,322678.95,161.33947500000002,322527.5534750001
2018-05-21,SELL,MOM100.NS,14791,20.35,300996.85000000003,150.49842500000003,623373.9050500002
2018-05-21,BUY,MON100.NS,5637,55.26,311500.62,155.75031,311717.5347400002
2018-05-21,BUY,LIQUIDBEES.NS,311,1000.0,311000.0,155.5,562.0347400002065
2018-05-28,SELL,LIQUIDBEES.NS,311,1000.0,311000.0,155.5,311406.5347400002
2018-05-28,BUY,PSUBNKBEES.NS,9279,33.54,311217.66,155.60882999999998,33.26591000024928
2018-06-11,SELL,BANKBEES.NS,1224,269.42,329770.08,164.88504,329638.46087000024
2018-06-11,BUY,HNGSNGBEES.NS,839,392.26,329106.14,164.55307000000002,367.76780000020517
2018-06-18,SELL,HNGSNGBEES.NS,839,346.29,290537.31,145.268655,290759.8091450002
2018-06-18,BUY,NIFTYBEES.NS,2585,112.4,290554.0,145.27700000000002,60.5321450001793
2018-06-25,SELL,PSUBNKBEES.NS,9279,32.16,298412.63999999996,149.20631999999998,298323.96582500014
2018-06-25,BUY,BANKBEES.NS,1099,271.13,297971.87,148.985935,203.10989000013797
2018-07-02,SELL,NIFTYBEES.NS,2585,111.0,286935.0,143.4675,286994.6423900001
2018-07-02,SELL,MON100.NS,5637,56.14,316461.18,158.23059,603297.5918
2018-07-02,BUY,NIF100BEES.NS,2685,112.28,301471.8,150.7359,301675.05590000004
2018-07-02,BUY,LIQUIDBEES.NS,301,1000.0,301000.0,150.5,524.5559000000358
2018-07-09,SELL,NIF100BEES.NS,2685,112.38,301740.3,150.87015,302113.98575000005
2018-07-09,BUY,NIFTYBEES.NS,2675,112.85,301873.75,150.93687500000001,89.29887500003679
2018-07-16,SELL,BANKBEES.NS,1099,272.02,298949.98,149.47499,298889.803885
2018-07-16,SELL,NIFTYBEES.NS,2675,113.98,304896.5,152.44825,603633.8556349999
2018-07-16,SELL,LIQUIDBEES.NS,301,1000.0,301000.0,150.5,904483.3556349999
2018-07-16,BUY,MON100.NS,5152,58.48,301288.95999999996,150.64448,603043.751155
2018-07-16,BUY,HNGSNGBEES.NS,904,333.16,301176.64,150.58832,301716.52283499995
2018-07-16,BUY,NIF100BEES.NS,2623,114.87,301304.01,150.652005,261.8608299999614
2018-07-23,SELL,HNGSNGBEES.NS,904,338.44,305949.76,152.97488,306058.64595
2018-07-23,BUY,NIFTYBEES.NS,2652,115.34,305881.68,152.94084,24.025109999987762
2018-07-30,SELL,NIFTYBEES.NS,2652,117.74,312246.48,156.12323999999998,312114.38187
2018-07-30,SELL,MON100.NS,5152,60.58,312108.16,156.05408,624066.4877899999
2018-07-30,BUY,PSUBNKBEES.NS,8682,35.92,311857.44,155.92872,312053.1190699999
2018-07-30,BUY,JUNIORBEES.NS,1030,302.7,311781.0,155.8905,116.22856999991927
2018-08-06,SELL,NIF100BEES.NS,2623,120.05,314891.14999999997,157.445575,314849.93299499986
2018-08-06,SELL,JUNIORBEES.NS,1030,307.43,316652.9,158.32645000000002,631344.5065449999
2018-08-06,BUY,CPSEETF.NS,11427,27.61,315499.47,157.749735,315687.2868099999
2018-08-06,BUY,MOM100.NS,15060,20.95,315507.0,157.7535,22.53330999991158
2018-08-13,SELL,CPSEETF.NS,11427,27.06,309214.62,154.60731,309082.5459999999
2018-08-13,BUY,JUNIORBEES.NS,1018,303.18,308637.24,154.31862,290.98737999994773
2018-08-20,SELL,JUNIORBEES.NS,1018,311.28,316883.04,158.44152,317015.58585999993
2018-08-20,BUY,HNGSNGBEES.NS,892,355.0,316660.0,158.33,197.25585999991745
2018-08-27,SELL,PSUBNKBEES.NS,8682,36.42,316198.44,158.09922,316237.59663999995
2018-08-27,SELL,HNGSNGBEES.NS,892,329.32,293753.44,146.87672,609844.15992
2018-08-27,SELL,MOM100.NS,15060,20.99,316109.39999999997,158.0547,925795.5052199999
2018-08-27,BUY,JUNIORBEES.NS,973,316.69,308139.37,154.069685,617502.065535
2018-08-27,BUY,INFRABEES.NS,929,331.8,308242.2,154.1211,309105.74443499994
2018-08-27,BUY,DIVOPPBEES.NS,9867,31.26,308442.42000000004,154.22121,509.1032249999116
2018-09-10,SELL,JUNIORBEES.NS,973,308.19,299868.87,149.934435,300228.0387899999
2018-09-10,SELL,DIVOPPBEES.NS,9867,30.97,305580.99,152.790495,605656.2382949998
2018-09-10,BUY,MON100.NS,4785,63.25,302651.25,151.325625,302853.6626699998
