ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
HNGSNGBEES.NS,2024-09-30,2024-11-25,56,367.12,319.86,-12.96
CONSUMBEES.NS,2020-04-20,2020-05-18,28,54.07,47.36,-12.497
CPSEETF.NS,2018-09-24,2018-10-08,14,26.98,24.04,-10.986
PSUBNKBEES.NS,2021-12-13,2021-12-20,7,30.13,26.93,-10.71
PSUBNKBEES.NS,2022-01-31,2022-02-28,28,32.53,29.1,-10.634
CPSEETF.NS,2022-06-06,2022-06-20,14,35.07,31.44,-10.44
SILVERBEES.NS,2025-04-01,2025-04-07,6,96.72,87.03,-10.109
JUNIORBEES.NS,2018-08-27,2018-09-24,28,316.69,285.93,-9.803
PSUBNKBEES.NS,2019-04-01,2019-04-30,29,37.14,33.62,-9.568
PSUBNKBEES.NS,2023-09-18,2023-10-23,35,58.08,52.76,-9.251
PSUBNKBEES.NS,2021-10-18,2021-11-29,42,30.87,28.14,-8.935
HNGSNGBEES.NS,2020-03-02,2020-04-07,36,372.0,339.98,-8.699
ITBEES.NS,2021-01-11,2021-02-01,21,27.2,25.03,-8.07
PSUBNKBEES.NS,2026-02-16,2026-03-16,28,103.31,95.24,-7.904
CPSEETF.NS,2022-09-19,2022-09-26,7,37.41,34.55,-7.737
