date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.4,333137.2,166.5686,666696.2313999999
2018-01-01,BUY,MOM100.NS,15282,21.8,333147.60000000003,166.57380000000003,333382.0575999999
2018-01-01,BUY,HNGSNGBEES.NS,1169,285.0,333165.0,166.5825,50.47509999986505
2018-02-26,SELL,HNGSNGBEES.NS,1169,306.3,358064.7,179.03235,357936.1427499999
2018-02-26,BUY,BANKBEES.NS,1370,260.99,357556.3,178.77815,201.0645999998669
2018-03-05,SELL,BANKBEES.NS,1370,251.73,344870.1,172.43505,344898.7295499999
2018-03-05,SELL,MOM100.NS,15282,20.74,316948.68,158.47434,661688.9352099998
2018-03-05,BUY,HNGSNGBEES.NS,1020,324.0,330480.0,165.24,331043.6952099998
2018-03-05,BUY,GOLDBEES.NS,12068,27.4,330663.2,165.3316,215.16360999981407
2018-03-19,SELL,GOLDBEES.NS,12068,27.04,326318.72,163.15936,326370.7242499998
2018-03-19,BUY,DIVOPPBEES.NS,10873,30.0,326190.0,163.095,17.629249999823514
2018-03-26,SELL,DIVOPPBEES.NS,10873,27.66,300747.18,150.37359,300614.43565999984
2018-03-26,BUY,GOLDBEES.NS,10910,27.54,300461.39999999997,150.23069999999998,2.8049599998630583
2018-04-23,SELL,HNGSNGBEES.NS,1020,361.5,368730.0,184.365,368548.4399599999
2018-04-23,BUY,DIVOPPBEES.NS,12282,29.99,368337.18,184.16859,27.091369999863673
2018-04-30,SELL,DIVOPPBEES.NS,12282,30.0,368460.0,184.23,368302.8613699999
2018-04-30,BUY,HNGSNGBEES.NS,1022,360.0,367920.0,183.96,198.90136999986134
2018-05-07,SELL,MON100.NS,6883,47.45,326598.35000000003,163.29917500000002,326633.9521949999
2018-05-07,BUY,DIVOPPBEES.NS,11085,29.45,326453.25,163.226625,17.475569999893196
2018-05-14,SELL,HNGSNGBEES.NS,1022,353.9,361685.8,180.8429,361522.4326699999
2018-05-14,SELL,DIVOPPBEES.NS,11085,29.61,328226.85,164.11342499999998,689585.1692449999
2018-05-14,BUY,MON100.NS,6757,51.0,344607.0,172.3035,344805.8657449999
2018-05-14,BUY,NIFTYBEES.NS,3085,111.69,344563.64999999997,172.281825,69.93391999992309
2018-05-21,SELL,NIFTYBEES.NS,3085,109.05,336419.25,168.20962500000002,336320.9742949999
2018-05-21,BUY,HNGSNGBEES.NS,933,360.0,335880.0,167.94,273.03429499990307
2018-06-18,SELL,GOLDBEES.NS,10910,27.45,299479.5,149.73975000000002,299602.7945449999
2018-06-18,BUY,NIFTYBEES.NS,2664,112.4,299433.60000000003,149.71680000000003,19.477744999865536
2018-06-25,SELL,HNGSNGBEES.NS,933,319.43,298028.19,149.014095,297898.6536499999
2018-06-25,BUY,BANKBEES.NS,1098,271.13,297700.74,148.85037,49.06327999988571
2018-07-02,SELL,NIFTYBEES.NS,2664,111.0,295704.0,147.852,295605.2112799999
2018-07-02,BUY,HNGSNGBEES.NS,866,340.86,295184.76,147.59238000000002,272.8588999998756
2018-07-09,SELL,HNGSNGBEES.NS,866,329.1,285000.60000000003,142.5003,285130.9585999999
2018-07-09,BUY,NIFTYBEES.NS,2525,112.85,284946.25,142.473125,42.235474999877624
2018-08-13,SELL,NIFTYBEES.NS,2525,118.23,298530.75,149.265375,298423.72009999986
2018-08-13,BUY,PSUBNKBEES.NS,8522,35.0,298270.0,149.135,4.5850999998510815
2018-09-10,SELL,BANKBEES.NS,1098,277.02,304167.95999999996,152.08398,304020.4611199998
2018-09-10,BUY,NIFTYBEES.NS,2539,119.65,303791.35000000003,151.895675,77.21544499980519
2018-09-24,SELL,PSUBNKBEES.NS,8522,30.46,259580.12,129.79006,259527.5453849998
2018-09-24,BUY,NIF100BEES.NS,2227,116.44,259311.88,129.65594000000002,86.0094449997996
2018-10-01,SELL,NIF100BEES.NS,2227,115.39,256973.53,128.486765,256931.0526799998
2018-10-01,BUY,DIVOPPBEES.NS,8436,30.44,256791.84,128.39592,10.816759999783244
2018-10-08,SELL,NIFTYBEES.NS,2539,108.05,274338.95,137.169475,274212.5972849998
2018-10-08,SELL,DIVOPPBEES.NS,8436,28.2,237895.19999999998,118.9476,511988.8496849998
2018-10-08,BUY,GOLDBEES.NS,9223,27.74,255846.02,127.92300999999999,256014.9066749998
2018-10-08,BUY,LIQUIDBEES.NS,255,1000.0,255000.0,127.5,887.4066749998019
2018-11-05,SELL,LIQUIDBEES.NS,255,999.99,254997.45,127.49872500000001,255757.3579499998
2018-11-05,BUY,PSUBNKBEES.NS,7692,33.23,255605.15999999997,127.80257999999999,24.395369999838294
2018-11-12,SELL,GOLDBEES.NS,9223,27.7,255477.1,127.73855,255373.75681999983
2018-11-12,BUY,MOM100.NS,12956,19.7,255233.19999999998,127.61659999999999,12.940219999843976
2018-11-19,SELL,MON100.NS,6757,48.8,329741.6,164.8708,329589.6694199998
2018-11-19,SELL,MOM100.NS,12956,19.21,248884.76,124.44238000000001,578349.9870399998
2018-11-19,BUY,GOLDBEES.NS,10498,27.53,289009.94,144.50497000000001,289195.5420699998
2018-11-19,BUY,INFRABEES.NS,894,323.01,288770.94,144.38547,280.21659999981057
2018-12-03,SELL,INFRABEES.NS,894,320.68,286687.92,143.34395999999998,286824.79263999977
2018-12-03,BUY,LIQUIDBEES.NS,286,999.99,285997.14,142.99857,684.6540699997568
2018-12-10,SELL,PSUBNKBEES.NS,7692,31.19,239913.48,119.95674000000001,240478.17732999977
2018-12-10,BUY,INFRABEES.NS,784,306.22,240076.48,120.03824,281.6590899997682
2019-01-14,SELL,INFRABEES.NS,784,316.25,247940.0,123.97,248097.68908999977
2019-01-14,BUY,BANKBEES.NS,892,277.95,247931.4,123.9657,42.32338999977219
2019-01-21,SELL,LIQUIDBEES.NS,286,1000.0,286000.0,143.0,285899.3233899998
2019-01-21,BUY,PSUBNKBEES.NS,8459,33.78,285745.02,142.87251,11.430879999767058
2019-02-11,SELL,GOLDBEES.NS,10498,29.3,307591.4,153.7957,307449.0351799998
2019-02-11,BUY,NIF100BEES.NS,2706,113.55,307266.3,153.63315,29.102029999776278
2019-02-18,SELL,PSUBNKBEES.NS,8459,29.51,249625.09000000003,124.81254500000001,249529.3794849998
