date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.4,333137.2,166.5686,666696.2313999999
2018-01-01,BUY,MOM100.NS,15282,21.8,333147.60000000003,166.57380000000003,333382.0575999999
2018-01-01,BUY,INFRABEES.NS,896,371.7,333043.2,166.5216,172.33599999989383
2018-01-08,SELL,INFRABEES.NS,896,379.0,339584.0,169.792,339586.5439999999
2018-01-08,BUY,JUNIORBEES.NS,1045,324.59,339196.55,169.598275,220.395724999893
2018-01-15,SELL,JUNIORBEES.NS,1045,322.77,337294.64999999997,168.647325,337346.39839999983
2018-01-15,BUY,CPSEETF.NS,10876,31.0,337156.0,168.578,21.82039999985136
2018-01-22,SELL,CPSEETF.NS,10876,30.31,329651.56,164.82578,329508.55461999984
2018-01-22,BUY,BANKBEES.NS,1201,274.16,329266.16000000003,164.63308,77.76153999980306
2018-01-29,SELL,BANKBEES.NS,1201,278.69,334706.69,167.35334500000002,334617.0981949998
2018-01-29,BUY,HNGSNGBEES.NS,1023,326.82,334336.86,167.16843,113.06976499978919
2018-02-05,SELL,MOM100.NS,15282,22.11,337885.02,168.94251,337829.1472549998
2018-02-05,BUY,BANKBEES.NS,1272,265.34,337512.48,168.75624,147.91101499978686
2018-02-12,SELL,BANKBEES.NS,1272,261.59,332742.48,166.37124,332724.01977499976
2018-02-12,BUY,GOLDBEES.NS,12316,27.0,332532.0,166.266,25.753774999757297
2018-02-26,SELL,HNGSNGBEES.NS,1023,306.3,313344.9,156.67245000000003,313213.98132499977
2018-02-26,BUY,LIQUIDBEES.NS,313,999.99,312996.87,156.498435,60.61288999975659
2018-03-05,SELL,LIQUIDBEES.NS,313,1000.0,313000.0,156.5,312904.11288999976
2018-03-05,BUY,HNGSNGBEES.NS,965,324.0,312660.0,156.33,87.78288999974029
2018-03-12,SELL,HNGSNGBEES.NS,965,340.0,328100.0,164.05,328023.73288999975
2018-03-12,BUY,LIQUIDBEES.NS,327,999.99,326996.73,163.498365,863.5045249997638
2018-03-19,SELL,GOLDBEES.NS,12316,27.04,333024.64,166.51232000000002,333721.6322049998
2018-03-19,SELL,LIQUIDBEES.NS,327,1000.0,327000.0,163.5,660558.1322049998
2018-03-19,BUY,HNGSNGBEES.NS,970,340.0,329800.0,164.9,330593.2322049998
2018-03-19,BUY,DIVOPPBEES.NS,11003,30.0,330090.0,165.04500000000002,338.187204999791
2018-03-26,SELL,DIVOPPBEES.NS,11003,27.66,304342.98,152.17149,304528.9957149998
2018-03-26,BUY,GOLDBEES.NS,11052,27.54,304372.08,152.18604000000002,4.729674999776762
2018-04-02,SELL,GOLDBEES.NS,11052,27.45,303377.39999999997,151.68869999999998,303230.44097499974
2018-04-02,BUY,LIQUIDBEES.NS,303,1000.0,303000.0,151.5,78.94097499974305
2018-04-09,SELL,MON100.NS,6883,50.31,346283.73000000004,173.14186500000002,346189.52910999977
2018-04-09,BUY,JUNIORBEES.NS,1126,307.03,345715.77999999997,172.85789,300.8912199998158
2018-04-16,SELL,HNGSNGBEES.NS,970,345.6,335232.0,167.616,335365.27521999984
2018-04-16,SELL,LIQUIDBEES.NS,303,999.99,302996.97000000003,151.49848500000002,638210.7467349998
2018-04-16,BUY,BANKBEES.NS,1242,256.75,318883.5,159.44175,319167.8049849998
2018-04-16,BUY,NIF100BEES.NS,2862,111.44,318941.27999999997,159.47063999999997,67.05434499983676
2018-04-23,SELL,BANKBEES.NS,1242,252.85,314039.7,157.01985000000002,313949.73449499987
2018-04-23,SELL,NIF100BEES.NS,2862,112.99,323377.38,161.68869,637165.4258049999
2018-04-23,BUY,HNGSNGBEES.NS,880,361.5,318120.0,159.06,318886.3658049999
2018-04-23,BUY,DIVOPPBEES.NS,10617,29.99,318403.82999999996,159.20191499999999,323.33388999995077
2018-04-30,SELL,HNGSNGBEES.NS,880,360.0,316800.0,158.4,316964.9338899999
2018-04-30,SELL,DIVOPPBEES.NS,10617,30.0,318510.0,159.255,635315.6788899999
2018-04-30,BUY,NIF100BEES.NS,2785,114.0,317490.0,158.745,317666.93388999987
2018-04-30,BUY,NIFTYBEES.NS,2855,111.17,317390.35,158.69517499999998,117.88871499989182
2018-05-07,SELL,JUNIORBEES.NS,1126,305.34,343812.83999999997,171.90642,343758.82229499985
2018-05-07,SELL,NIF100BEES.NS,2785,112.16,312365.6,156.1828,655968.2394949999
2018-05-07,BUY,BANKBEES.NS,1254,261.4,327795.6,163.8978,328008.7416949999
2018-05-07,BUY,MOM100.NS,15677,20.91,327806.07,163.90303500000002,38.76865999988513
2018-05-21,SELL,NIFTYBEES.NS,2855,109.05,311337.75,155.668875,311220.8497849999
2018-05-21,SELL,MOM100.NS,15677,20.35,319026.95,159.513475,630088.2863099999
2018-05-21,BUY,MON100.NS,5698,55.26,314871.48,157.43573999999998,315059.3705699999
2018-05-21,BUY,HNGSNGBEES.NS,874,360.0,314640.0,157.32,262.05056999990484
2018-05-28,SELL,HNGSNGBEES.NS,874,365.48,319429.52,159.71476,319531.8558099999
2018-05-28,BUY,PSUBNKBEES.NS,9522,33.54,319367.88,159.68394,4.291869999899063
2018-06-11,SELL,BANKBEES.NS,1254,269.42,337852.68,168.92634,337688.0455299999
2018-06-11,BUY,HNGSNGBEES.NS,860,392.26,337343.6,168.6718,175.77372999989893
2018-06-18,SELL,HNGSNGBEES.NS,860,346.29,297809.4,148.90470000000002,297836.2690299999
2018-06-18,BUY,DIVOPPBEES.NS,10060,29.59,297675.4,148.8377,12.031329999910668
2018-06-25,SELL,DIVOPPBEES.NS,10060,29.16,293349.6,146.6748,293214.9565299999
2018-06-25,BUY,BANKBEES.NS,1080,271.13,292820.4,146.4102,248.14632999990135
2018-07-02,SELL,BANKBEES.NS,1080,266.26,287560.8,143.7804,287665.1659299999
2018-07-02,SELL,PSUBNKBEES.NS,9522,31.05,295658.10000000003,147.82905000000002,583175.4368799999
2018-07-02,BUY,NIFTYBEES.NS,2625,111.0,291375.0,145.6875,291654.74937999994
2018-07-02,BUY,NIF100BEES.NS,2595,112.28,291366.6,145.6833,142.46607999998378
2018-07-09,SELL,NIF100BEES.NS,2595,112.38,291626.1,145.81305,291622.75302999996
2018-07-09,BUY,LIQUIDBEES.NS,291,999.99,290997.09,145.498545,480.1644849999575
